GENE_a	GENE_b	ID_a	ID_b	AC_a	AC_b	pubmedID	resource
AAK1	ATP13A2	AAK1_HUMAN	AT132_HUMAN	Q2M2I8	Q9NQ11	22645275	IntAct
AAK1	BMP2K	AAK1_HUMAN	BMP2K_HUMAN	Q2M2I8	Q9NSY1	20482850	Reactome_Fls
AAK1	HCLS1	AAK1_HUMAN	HCLS1_HUMAN	Q2M2I8	P14317	16713569	Spike
AAK1	PLK2	AAK1_HUMAN	PLK2_HUMAN	Q2M2I8	Q9NYY3	20482850	Reactome_Fls
AAK1	PLK3	AAK1_HUMAN	PLK3_HUMAN	Q2M2I8	Q9H4B4	20482850	Reactome_Fls
ATP13A2	AAK1	AT132_HUMAN	AAK1_HUMAN	Q9NQ11	Q2M2I8	22645275	IntAct
GABARAPL2	AAK1	GBRL2_HUMAN	AAK1_HUMAN	P60520	Q2M2I8	20562859	IntAct
NUMBL	AAK1	NUMBL_HUMAN	AAK1_HUMAN	Q9Y6R0	Q2M2I8	18508856	Interoporc
PLK1	AAK1	PLK1_HUMAN	AAK1_HUMAN	P53350	Q2M2I8	20482850	Reactome_Fls
PRKAB1	PRKAA1	AAKB1_HUMAN	AAPK1_HUMAN	Q9Y478	Q13131	8626596;20562859;18480843	MINT;iRefIndex;IntAct
PRKAG1	PRKAA1	AAKG1_HUMAN	AAPK1_HUMAN	P54619	Q13131	8663446;20562859;20482850	Reactome_Fls;iRefIndex;IntAct
PRKAA1	YWHAE	AAPK1_HUMAN	1433E_HUMAN	Q13131	P62258	18508856	Interoporc
PRKAA1	YWHAZ	AAPK1_HUMAN	1433Z_HUMAN	Q13131	P63104	18508856	Interoporc
PRKAA1	PRKAB1	AAPK1_HUMAN	AAKB1_HUMAN	Q13131	Q9Y478	8626596;23455922;20562859;20482850;18480843;17367534;16306228	Spike;Reactome_Fls;Reactome;IntAct;APID
PRKAA1	LOC101060511	AAPK1_HUMAN	AAKB2_HUMAN	Q13131	O43741	8626596;23455922;21988832;20562859;17367534;16306228	Reactome;IntAct;APID
PRKAA1	PRKAB2	AAPK1_HUMAN	AAKB2_HUMAN	Q13131	O43741	8626596;23455922;21988832;20562859;17367534;16306228	Reactome;IntAct;APID
PRKAA1	PRKAG1	AAPK1_HUMAN	AAKG1_HUMAN	Q13131	P54619	8663446;23455922;20562859;17367534;16306228	Reactome;IntAct;APID
PRKAA1	PRKAG2	AAPK1_HUMAN	AAKG2_HUMAN	Q13131	Q9UGJ0	23455922;20482850;18508856;17367534	Reactome_Fls;Reactome;Interoporc;IntAct
PRKAA1	PRKAG3	AAPK1_HUMAN	AAKG3_HUMAN	Q13131	Q9UGI9	8626596;20482850;17367534	Reactome_Fls;Reactome;APID
PRKAA1	PRKAA1	AAPK1_HUMAN	AAPK1_HUMAN	Q13131	Q13131	20562859	IntAct
PRKAA1	PRKAA2	AAPK1_HUMAN	AAPK2_HUMAN	Q13131	P54646	20801214;17367534	Reactome;MINT
PRKAA1	ACACA	AAPK1_HUMAN	ACACA_HUMAN	Q13131	Q13085	23455922	IntAct
PRKAA1	ACACB	AAPK1_HUMAN	ACACB_HUMAN	Q13131	O00763	17367534	Reactome
PRKAA1	SLC25A5	AAPK1_HUMAN	ADT2_HUMAN	Q13131	P05141	16306228	IntAct;APID
PRKAA1	ARF1	AAPK1_HUMAN	ARF1_HUMAN	Q13131	P84077	18508856	Interoporc
PRKAA1	ARFGEF1	AAPK1_HUMAN	BIG1_HUMAN	Q13131	Q9Y6D6	18508856	Interoporc
PRKAA1	CAB39	AAPK1_HUMAN	CAB39_HUMAN	Q13131	Q9Y376	8910387;20482850;17367534	Reactome_Fls;Reactome;APID
PRKAA1	CAB39L	AAPK1_HUMAN	CB39L_HUMAN	Q13131	Q9H9S4	20482850;17367534	Reactome_Fls;Reactome
PRKAA1	CDC37	AAPK1_HUMAN	CDC37_HUMAN	Q13131	Q16543	16306228	IntAct;APID
PRKAA1	CDK13	AAPK1_HUMAN	CDK13_HUMAN	Q13131	Q14004	18508856	Interoporc
PRKAA1	CFTR	AAPK1_HUMAN	CFTR_HUMAN	Q13131	P13569	10862786	iRefIndex;APID
PRKAA1	EEF2K	AAPK1_HUMAN	EF2K_HUMAN	Q13131	O00418	11500364	iRefIndex
PRKAA1	LOC101060570	AAPK1_HUMAN	EF2K_HUMAN	Q13131	O00418	11500364	iRefIndex
PRKAA1	FKBP5	AAPK1_HUMAN	FKBP5_HUMAN	Q13131	Q13451	23455922	IntAct
PRKAA1	FMR1	AAPK1_HUMAN	FMR1_HUMAN	Q13131	Q06787	20562859	IntAct
PRKAA1	FXR2	AAPK1_HUMAN	FXR2_HUMAN	Q13131	P51116	20562859	IntAct
PRKAA1	G3BP1	AAPK1_HUMAN	G3BP1_HUMAN	Q13131	Q13283	20562859	IntAct
PRKAA1	G6PC2	AAPK1_HUMAN	G6PC2_HUMAN	Q13131	Q9NQR9	20482850	Reactome_Fls
PRKAA1	GRIK2	AAPK1_HUMAN	GRIK2_HUMAN	Q13131	Q13002	8094892	iRefIndex
PRKAA1	HSPA5	AAPK1_HUMAN	GRP78_HUMAN	Q13131	P11021	16306228	IntAct;APID
