ID,Group,Family,Subfamily,Kinase,Gene_Symbol
ACM1_421_433,ATYPICAL,PDHK,BCKDK,BCKDK,BCKDK
ACM1_421_433,ATYPICAL,PDHK,PDHK,PDHK1,PDK1
ACM1_421_433,ATYPICAL,PDHK,PDHK,PDHK2,PDK2
ACM1_421_433,ATYPICAL,PDHK,PDHK,PDHK3,PDK3
ACM1_421_433,ATYPICAL,PDHK,PDHK,PDHK4,PDK4
ACM1_444_456,CMGC,CDK,CCRK,CCRK,CCRK
ACM1_444_456,CMGC,CDK,CDC2,CDC2,CDC2
ACM1_444_456,CMGC,CDK,CDC2,CDK2,CDK2
ACM1_444_456,CMGC,CDK,CDC2,CDK3,CDK3
ACM1_444_456,CMGC,CDK,CDK10,CDK10,CDK10
ACM1_444_456,CMGC,CDK,CDK4,CDK4,CDK4
ACM1_444_456,CMGC,CDK,CDK4,CDK6,CDK6
ACM1_444_456,CMGC,CDK,CDK5,CDK5,CDK5
ACM1_444_456,CMGC,CDK,CDK7,CDK7,CDK7
ACM1_444_456,CMGC,CDK,CDK8,CDK8,CDK8
ACM1_444_456,CMGC,CDK,CDK8,CDK11,CDC2L6
ACM1_444_456,CMGC,CDK,CDK9,CDK9,CDK9
ACM1_444_456,CMGC,CDK,CRK7,CHED,CDC2L5
ACM1_444_456,CMGC,CDK,CRK7,CRK7,CRKRS
ACM1_444_456,CMGC,CDK,PCTAIRE,PCTAIRE1,PCTK1
ACM1_444_456,CMGC,CDK,PCTAIRE,PCTAIRE2,PCTK2
ACM1_444_456,CMGC,CDK,PCTAIRE,PCTAIRE3,PCTK3
ACM1_444_456,CMGC,CDK,PFTAIRE,PFTAIRE1,PFTK1
ACM1_444_456,CMGC,CDK,PFTAIRE,PFTAIRE2,ALS2CR7
ACM1_444_456,CMGC,CDK,PITSLRE,PITSLRE,CDC2L2
ACM1_444_456,CMGC,CDK,CDK11,CDK11B,CDK11B
ACM1_444_456,CK1,CK1,CK1-A,CK1A,CSNK1A1
ACM1_444_456,CK1,CK1,CK1-A,CK1A2,CSNK1A1L
ACM1_444_456,CK1,CK1,CK1-D,CK1D,CSNK1D
ACM1_444_456,CK1,CK1,CK1-D,CK1E,CSNK1E
ACM1_444_456,CK1,CK1,CK1-G,CK1G2,CSNK1G2
ACM1_444_456,CK1,CK1,CK1-G,CK1G3,CSNK1G3
ACM1_444_456,CK1,CK1,CK1-G,CK1G1,CSNK1G1
ACM1_444_456,CAMK,DAPK,DAPK,DAPK1,DAPK1
ACM1_444_456,CAMK,DAPK,DAPK,DAPK3,DAPK3
ACM1_444_456,CAMK,DAPK,DAPK,DAPK2,DAPK2
ACM1_444_456,CAMK,DAPK,DRAK,DRAK2,STK17B
ACM1_444_456,CAMK,DAPK,DRAK,DRAK1,STK17A
ACM1_444_456,AGC,DMPK,CRIK,CRIK,CIT
ACM1_444_456,AGC,DMPK,GEK,DMPK1,DMPK
ACM1_444_456,AGC,DMPK,GEK,MRCKA,CDC42BPA
ACM1_444_456,AGC,DMPK,GEK,MRCKB,CDC42BPB
ACM1_444_456,AGC,DMPK,GEK,DMPK2,CDC42BPG
ACM1_444_456,AGC,DMPK,ROCK,ROCK1,ROCK1
ACM1_444_456,AGC,DMPK,ROCK,ROCK2,ROCK2
ACM1_444_456,CMGC,DYRK,DYRK1,DYRK1A,DYRK1A
ACM1_444_456,CMGC,DYRK,DYRK1,DYRK1B,DYRK1B
ACM1_444_456,CMGC,DYRK,DYRK2,DYRK3,DYRK3
ACM1_444_456,CMGC,DYRK,DYRK2,DYRK2,DYRK2
